1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;1001;Flensburg;;voll.;1,634;1,017;617;11;7;4;9;6;3;11;6;5;18;7;11;40;18;22;89;44;45;67;39;28;117;70;47;184;109;75;186;113;73;459;266;193;117;72;45;109;66;43;226;138;88;257;171;86;278;187;91;194;119;75;147;95;52;73;41;32;1,175;751;424
------;Straftaten insgesamt;1002;Kiel;;voll.;4,115;2,625;1,490;28;12;16;7;6;1;29;16;13;48;31;17;78;38;40;190;103;87;137;79;58;170;104;66;307;183;124;434;264;170;931;550;381;273;170;103;238;161;77;511;331;180;688;460;228;854;534;320;553;369;184;400;271;129;178;110;68;3,184;2,075;1,109
------;Straftaten insgesamt;1003;Lübeck;;voll.;4,397;2,746;1,651;32;21;11;18;13;5;21;6;15;62;29;33;94;44;50;227;113;114;161;90;71;202;107;95;363;197;166;360;233;127;950;543;407;253;160;93;255;162;93;508;322;186;598;399;199;1,006;627;379;639;417;222;469;300;169;227;138;89;3,447;2,203;1,244
------;Straftaten insgesamt;1004;Neumünster;;voll.;1,923;1,157;766;9;3;6;8;5;3;15;8;7;20;13;7;51;16;35;103;45;58;79;45;34;103;55;48;182;100;82;230;153;77;515;298;217;122;77;45;97;62;35;219;139;80;300;174;126;395;254;141;244;145;99;160;96;64;90;51;39;1,408;859;549
------;Straftaten insgesamt;1051;Dithmarschen;;voll.;1,624;980;644;16;9;7;12;7;5;18;10;8;31;22;9;41;27;14;118;75;43;68;40;28;104;60;44;172;100;72;173;104;69;463;279;184;114;70;44;101;66;35;215;136;79;192;126;66;261;151;110;220;127;93;169;101;68;104;60;44;1,161;701;460
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;;voll.;1,848;1,047;801;24;11;13;17;14;3;20;13;7;35;28;7;81;38;43;177;104;73;102;46;56;132;70;62;234;116;118;138;73;65;549;293;256;80;57;23;91;55;36;171;112;59;198;122;76;306;169;137;279;161;118;211;117;94;134;73;61;1,299;754;545
------;Straftaten insgesamt;1054;Nordfriesland;;voll.;1,792;1,090;702;9;6;3;6;5;1;13;7;6;26;9;17;49;25;24;103;52;51;91;51;40;111;77;34;202;128;74;204;148;56;509;328;181;85;49;36;79;44;35;164;93;71;221;143;78;313;181;132;243;134;109;196;123;73;146;88;58;1,283;762;521
------;Straftaten insgesamt;1055;Ostholstein;;voll.;2,334;1,384;950;27;17;10;15;6;9;29;20;9;31;18;13;67;40;27;169;101;68;87;41;46;119;72;47;206;113;93;205;143;62;580;357;223;115;62;53;89;61;28;204;123;81;267;151;116;374;207;167;372;225;147;336;211;125;201;110;91;1,754;1,027;727
------;Straftaten insgesamt;1056;Pinneberg;;voll.;3,228;1,853;1,375;29;13;16;15;10;5;33;19;14;73;50;23;108;57;51;258;149;109;139;82;57;165;94;71;304;176;128;278;155;123;840;480;360;163;101;62;164;104;60;327;205;122;406;254;152;654;353;301;476;260;216;328;197;131;197;104;93;2,388;1,373;1,015
