1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Schluessel;Straftat;Gemeindeschluessel;Stadt/Landkreis;Kreisart;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;1001;Flensburg;KfS;voll.;1,706;1,104;602;8;5;3;84;42;42;92;47;45;172;117;55;190;123;67;1,181;777;404;71;40;31;1,252;817;435
------;Straftaten insgesamt;1002;Kiel;KfS;voll.;3,941;2,481;1,460;37;18;19;201;123;78;238;141;97;302;189;113;354;216;138;2,851;1,829;1,022;196;106;90;3,047;1,935;1,112
------;Straftaten insgesamt;1003;Lübeck;KfS;voll.;4,266;2,579;1,687;24;12;12;195;105;90;219;117;102;285;147;138;353;229;124;3,161;1,956;1,205;248;130;118;3,409;2,086;1,323
------;Straftaten insgesamt;1004;Neumünster;KfS;voll.;2,042;1,285;757;11;8;3;95;48;47;106;56;50;212;107;105;222;156;66;1,394;916;478;108;50;58;1,502;966;536
------;Straftaten insgesamt;1051;Dithmarschen;K;voll.;1,429;870;559;11;3;8;96;40;56;107;43;64;173;105;68;156;92;64;903;579;324;90;51;39;993;630;363
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;voll.;1,951;1,111;840;22;13;9;162;94;68;184;107;77;206;111;95;166;117;49;1,270;701;569;125;75;50;1,395;776;619
------;Straftaten insgesamt;1054;Nordfriesland;K;voll.;1,807;1,065;742;14;9;5;91;56;35;105;65;40;172;103;69;183;121;62;1,218;700;518;129;76;53;1,347;776;571
------;Straftaten insgesamt;1055;Ostholstein;K;voll.;2,296;1,354;942;33;16;17;187;106;81;220;122;98;228;133;95;188;121;67;1,463;863;600;197;115;82;1,660;978;682
------;Straftaten insgesamt;1056;Pinneberg;K;voll.;3,279;1,918;1,361;20;12;8;246;140;106;266;152;114;323;203;120;259;166;93;2,211;1,271;940;220;126;94;2,431;1,397;1,034
------;Straftaten insgesamt;1057;Plön;K;voll.;1,009;626;383;3;3;0;88;56;32;91;59;32;115;76;39;97;69;28;636;379;257;70;43;27;706;422;284
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;voll.;2,487;1,432;1,055;22;10;12;148;86;62;170;96;74;256;153;103;199;96;103;1,683;970;713;179;117;62;1,862;1,087;775
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;voll.;1,644;915;729;21;10;11;106;54;52;127;64;63;167;91;76;152;105;47;1,079;597;482;119;58;61;1,198;655;543
------;Straftaten insgesamt;1060;Segeberg;K;voll.;2,658;1,621;1,037;26;18;8;189;118;71;215;136;79;268;159;109;260;172;88;1,744;1,060;684;171;94;77;1,915;1,154;761
------;Straftaten insgesamt;1061;Steinburg;K;voll.;1,426;796;630;11;5;6;96;43;53;107;48;59;149;73;76;141;81;60;933;537;396;96;57;39;1,029;594;435
