NUTS,year,news_count,fem,pop22_tot
DEF01,2017,11.0,0,96326.0
DEF02,2017,42.0,1,252668.0
DEF03,2017,25.0,2,216889.0
DEF04,2017,5.0,0,79809.0
DEF05,2017,,1,133460.0
DEF06,2017,5.0,1,206235.0
DEF07,2017,1.0,0,170029.0
DEF08,2017,1.0,0,201472.0
DEF09,2017,,2,325223.0
DEF0A,2017,1.0,0,130609.0
DEF0B,2017,2.0,1,278058.0
DEF0C,2017,4.0,1,205472.0
DEF0D,2017,13.0,1,283562.0
DEF0E,2017,3.0,0,132731.0
DEF0F,2017,11.0,0,246974.0
DE600,2017,105.0,3,1862565.0
DE911,2017,5.0,0,252962.0
DE912,2017,2.0,0,104970.0
DE913,2017,16.0,1,129560.0
DE914,2017,,0,175943.0
DE916,2017,,0,126775.0
DE917,2017,,0,90227.0
DE918,2017,4.0,1,125623.0
DE91A,2017,13.0,0,137045.0
DE91B,2017,22.0,0,118290.0
DE91C,2017,6.0,1,328028.0
DE929,2017,120.0,6,1140888.0
DE922,2017,3.0,2,221202.0
DE923,2017,1.0,1,150203.0
DE925,2017,15.0,0,267506.0
DE926,2017,,0,65581.0
DE927,2017,20.0,1,121468.0
DE928,2017,17.0,1,156841.0
DE931,2017,9.0,1,172449.0
DE932,2017,,1,198842.0
DE933,2017,14.0,0,265864.0
DE934,2017,,1,46502.0
DE935,2017,10.0,0,179448.0
DE936,2017,,1,113598.0
DE937,2017,8.0,1,165904.0
DE938,2017,2.0,0,141321.0
DE938,2017,2.0,4,141321.0
DE939,2017,4.0,3,207700.0
DE93A,2017,,1,91638.0
DE93B,2017,23.0,0,138626.0
DE941,2017,5.0,20,81406.0
DE942,2017,3.0,0,49202.0
DE943,2017,31.0,15,176614.0
DE944,2017,6.0,0,166057.0
DE945,2017,15.0,1,75745.0
DE946,2017,,0,127751.0
DE947,2017,38.0,2,188816.0
DE948,2017,,1,177025.0
DE949,2017,2.0,0,334539.0
DE94A,2017,20.0,2,100411.0
DE94B,2017,1.0,1,144543.0
DE94C,2017,19.0,2,169103.0
DE94D,2017,18.0,1,132008.0
DE94E,2017,5.0,0,354821.0
DE94F,2017,1.0,0,146539.0
DE94G,2017,,0,88936.0
DE94H,2017,,0,55969.0
DE501,2017,43.0,2,586271.0
DE502,2017,1.0,0,118610.0
DEA11,2017,80.0,3,618685.0
DEA12,2017,25.0,3,502270.0
DEA13,2017,12.0,3,574682.0
DEA14,2017,4.0,0,231406.0
DEA15,2017,38.0,1,267213.0
DEA16,2017,1.0,3,173050.0
DEA17,2017,,1,213646.0
DEA18,2017,,0,113828.0
DEA19,2017,25.0,0,165626.0
DEA1A,2017,44.0,2,358193.0
DEA1B,2017,,1,322018.0
DEA1C,2017,2.0,1,490910.0
DEA1D,2017,11.0,0,457077.0
DEA1E,2017,3.0,0,297857.0
DEA1F,2017,,0,457918.0
DEA22,2017,55.0,2,323336.0
DEA23,2017,29.0,1,1024621.0
DEA24,2017,1.0,0,168581.0
DEA2D,2017,26.0,4,582410.0
DEA26,2017,,2,279285.0
DEA27,2017,,1,477988.0
DEA28,2017,8.0,1,202609.0
DEA29,2017,,0,263681.0
DEA2A,2017,12.0,0,274057.0
DEA2B,2017,1.0,1,284273.0
DEA2C,2017,10.0,1,605441.0
DEA31,2017,,0,118535.0
DEA32,2017,25.0,4,267930.0
DEA33,2017,76.0,2,308258.0
DEA34,2017,43.0,1,380796.0
DEA35,2017,4.0,0,227859.0
DEA36,2017,7.0,2,621305.0
DEA37,2017,12.0,2,451712.0
DEA38,2017,17.0,2,282639.0
DEA41,2017,23.0,0,331605.0
DEA42,2017,,0,363982.0
DEA43,2017,,0,254404.0
DEA44,2017,5.0,2,139252.0
DEA45,2017,27.0,1,347149.0
DEA46,2017,25.0,2,320557.0
DEA47,2017,28.0,1,315912.0
DEA51,2017,13.0,2,358676.0
DEA52,2017,5.0,1,603462.0
DEA53,2017,12.0,0,190384.0
DEA54,2017,,0,179968.0
DEA55,2017,4.0,0,155851.0
DEA56,2017,4.0,1,314167.0
DEA57,2017,1.0,4,260843.0
DEA58,2017,,0,408046.0
DEA59,2017,,1,132346.0
DEA5A,2017,,1,274074.0
DEA5B,2017,,0,300297.0
DEA5C,2017,,2,393784.0
DE711,2017,39.0,0,167029.0
DE712,2017,65.0,5,756021.0
DE713,2017,83.0,1,132746.0
DE714,2017,37.0,0,288850.0
DE715,2017,21.0,0,274169.0
DE716,2017,20.0,1,302021.0
DE717,2017,3.0,1,268310.0
DE718,2017,7.0,3,241664.0
DE719,2017,16.0,0,420914.0
DE71A,2017,2.0,1,238775.0
DE71B,2017,,0,93846.0
DE71C,2017,11.0,3,358022.0
DE71D,2017,,0,185651.0
DE71E,2017,3.0,4,311593.0
DE721,2017,9.0,0,268418.0
DE722,2017,,1,254074.0
DE723,2017,1.0,0,173830.0
DE724,2017,9.0,2,242805.0
DE725,2017,,1,101163.0
DE731,2017,13.0,1,197230.0
DE732,2017,2.0,2,222283.0
DE733,2017,2.0,1,117414.0
DE734,2017,1.0,0,231073.0
DE735,2017,,0,180071.0
DE736,2017,,0,155126.0
DE737,2017,2.0,0,97695.0
DEB11,2017,,0,113378.0
DEB12,2017,1.0,1,129353.0
DEB13,2017,,0,132125.0
DEB14,2017,1.0,0,164748.0
DEB15,2017,4.0,0,82611.0
DEB1C,2017,3.0,0,61608.0
DEB17,2017,,0,217228.0
DEB18,2017,,1,189061.0
DEB1D,2017,,0,106705.0
DEB1A,2017,6.0,1,125588.0
DEB1B,2017,,0,207803.0
DEB21,2017,12.0,3,104342.0
DEB22,2017,1.0,1,113187.0
DEB23,2017,1.0,0,99788.0
DEB24,2017,,0,59313.0
DEB25,2017,1.0,0,148953.0
DEB31,2017,1.0,0,48140.0
DEB32,2017,1.0,0,100426.0
DEB33,2017,67.0,0,48209.0
DEB34,2017,47.0,1,177222.0
DEB35,2017,5.0,3,224684.0
DEB36,2017,32.0,0,52945.0
DEB37,2017,,0,39761.0
DEB38,2017,,0,49564.0
DEB39,2017,,0,86753.0
DEB3A,2017,,0,33323.0
DEB3B,2017,,0,131238.0
DEB3C,2017,,2,134329.0
DEB3D,2017,2.0,0,74783.0
DEB3E,2017,127.0,0,131383.0
DEB3F,2017,,0,106343.0
DEB3G,2017,1.0,0,69334.0
DEB3H,2017,,0,113031.0
DEB3I,2017,,0,155882.0
DEB3J,2017,2.0,3,206454.0
DEB3K,2017,,0,89974.0
DE111,2017,102.0,1,612663.0
DE112,2017,,0,395167.0
DE113,2017,25.0,4,536601.0
DE114,2017,1.0,3,258809.0
DE115,2017,74.0,4,535374.0
DE116,2017,29.0,0,440696.0
DE117,2017,27.0,1,131986.0
DE118,2017,22.0,2,353877.0
DE119,2017,,0,115644.0
DE11A,2017,1.0,0,200902.0
DE11B,2017,,1,133169.0
DE11C,2017,14.0,2,135235.0
DE11D,2017,23.0,1,317427.0
DE121,2017,,1,56881.0
DE122,2017,55.0,2,309050.0
DE123,2017,28.0,1,456264.0
DE124,2017,,0,230737.0
DE125,2017,22.0,3,155756.0
DE126,2017,19.0,1,318035.0
DE127,2017,8.0,1,145263.0
DE128,2017,,0,558561.0
DE129,2017,7.0,1,134912.0
DE12A,2017,10.0,1,161251.0
DE12B,2017,,0,199745.0
DE12C,2017,,0,121958.0
DE131,2017,421.0,2,237460.0
DE132,2017,,0,272558.0
DE133,2017,286.0,2,169787.0
DE134,2017,31.0,2,444858.0
DE135,2017,5.0,2,140237.0
